route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id
21-U1-j22-24,UZ,11409.UZ.21-U1-j22-24.3.H,21-U1-j22-24.3.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11411.UZ.21-U1-j22-24.1.H,21-U1-j22-24.1.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11412.UZ.21-U1-j22-24.4.R,21-U1-j22-24.4.R,Wien Oberlaa,1,
21-U1-j22-24,UZ,11413.UZ.21-U1-j22-24.5.R,21-U1-j22-24.5.R,Wien Alaudagasse,1,
21-U1-j22-24,UZ,11417.UZ.21-U1-j22-24.3.H,21-U1-j22-24.3.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11419.UZ.21-U1-j22-24.5.R,21-U1-j22-24.5.R,Wien Alaudagasse,1,
21-U1-j22-24,UZ,11420.UZ.21-U1-j22-24.4.R,21-U1-j22-24.4.R,Wien Oberlaa,1,
21-U1-j22-24,UZ,11423.UZ.21-U1-j22-24.3.H,21-U1-j22-24.3.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11424.UZ.21-U1-j22-24.1.H,21-U1-j22-24.1.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11427.UZ.21-U1-j22-24.3.H,21-U1-j22-24.3.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11429.UZ.21-U1-j22-24.1.H,21-U1-j22-24.1.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11430.UZ.21-U1-j22-24.5.R,21-U1-j22-24.5.R,Wien Alaudagasse,1,
21-U1-j22-24,UZ,11431.UZ.21-U1-j22-24.4.R,21-U1-j22-24.4.R,Wien Oberlaa,1,
21-U1-j22-24,UZ,11435.UZ.21-U1-j22-24.1.H,21-U1-j22-24.1.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11436.UZ.21-U1-j22-24.5.R,21-U1-j22-24.5.R,Wien Alaudagasse,1,
21-U1-j22-24,UZ,11437.UZ.21-U1-j22-24.4.R,21-U1-j22-24.4.R,Wien Oberlaa,1,
21-U1-j22-24,UZ,11441.UZ.21-U1-j22-24.3.H,21-U1-j22-24.3.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11443.UZ.21-U1-j22-24.1.H,21-U1-j22-24.1.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11444.UZ.21-U1-j22-24.5.R,21-U1-j22-24.5.R,Wien Alaudagasse,1,
21-U1-j22-24,UZ,11445.UZ.21-U1-j22-24.4.R,21-U1-j22-24.4.R,Wien Oberlaa,1,
21-U1-j22-24,UZ,11449.UZ.21-U1-j22-24.3.H,21-U1-j22-24.3.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11451.UZ.21-U1-j22-24.5.R,21-U1-j22-24.5.R,Wien Alaudagasse,1,
21-U1-j22-24,UZ,11452.UZ.21-U1-j22-24.4.R,21-U1-j22-24.4.R,Wien Oberlaa,1,
21-U1-j22-24,UZ,11455.UZ.21-U1-j22-24.3.H,21-U1-j22-24.3.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11456.UZ.21-U1-j22-24.1.H,21-U1-j22-24.1.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11459.UZ.21-U1-j22-24.4.R,21-U1-j22-24.4.R,Wien Oberlaa,1,
